symbol,change_pct,prev_close,price,mas_curr,mas_prev,mal_curr,mal_prev,maxl_curr,maxl_prev,rsi,stoch,2026-02-20 15:19
A,-3.1,12634,12238,12652,12724,13495,13579,14050,14050,30,0
AA,0.7,5969,6008,6043,6006,6114,6125,4733,4705,51,54
AAL,1.7,1335,1357,1430,1436,1463,1470,1383,1381,41,13
AAON,1.8,10102,10284,10085,9986,9373,9302,9240,9226,65,100
AAP,-1.3,5598,5523,5677,5654,4965,4918,5001,5006,59,62
AAPL,1.4,26058,26433,26725,26841,26155,26149,26592,26585,49,38
ABBV,1.0,22435,22662,22615,22539,22230,22221,22597,22589,53,60
ABNB,1.3,12581,12746,12224,12162,12895,12930,12613,12607,51,85
ABT,0.3,11219,11251,11221,11187,11477,11528,12375,12396,45,79
ACGL,-0.3,9834,9800,9849,9889,9567,9553,9279,9271,54,32
ACHC,-0.4,1686,1678,1556,1523,1419,1412,1753,1760,66,95
ACI,-0.1,1793,1790,1804,1803,1739,1736,1767,1766,53,65
ACM,1.3,9658,9779,9661,9669,9728,9735,11130,11160,51,60
ACN,-0.4,21495,21409,22674,22869,25706,25912,25504,25522,28,0
ADBE,-0.7,25920,25743,26238,26357,28900,29162,32509,32605,28,0
ADC,1.3,7713,7815,7690,7670,7380,7354,7317,7310,64,85
ADI,2.3,34530,35326,33564,33253,31545,31343,27125,27019,78,100
ADM,-0.6,6886,6844,6839,6809,6643,6617,6177,6169,59,73
ADP,-0.7,21597,21436,21837,22034,24218,24374,25951,26025,24,11
ADSK,-1.1,22910,22662,23245,23360,25331,25553,28793,28887,32,10
ADT,0.5,789,793,790,789,801,802,823,823,48,50
AEE,0.4,10980,11024,10803,10749,10449,10417,10308,10298,68,90
AEP,1.0,12841,12963,12573,12482,12077,12029,11858,11836,72,94
AES,0.6,1636,1645,1627,1619,1517,1511,1441,1437,65,100
AFG,-0.7,13037,12941,12974,12976,13008,13018,13521,13535,46,65
AFL,1.0,11276,11390,11489,11525,11162,11156,11067,11063,53,45
AFRM,-0.7,5182,5145,5373,5452,6505,6608,7020,7046,29,13
AGCO,-0.2,13852,13830,13729,13590,12157,12062,11100,11070,78,91
AGNC,-0.0,1132,1131,1134,1135,1152,1151,1066,1064,47,31
AGO,2.0,8673,8848,8696,8689,8627,8631,8629,8624,58,100
AIG,0.9,7954,8026,7811,7768,7545,7537,7865,7862,62,100
AIQ,0.7,4941,4977,4985,4972,5131,5141,5094,5093,44,37
AIZ,0.2,22292,22340,22501,22691,23323,23364,22652,22645,41,30
AJG,-0.7,21837,21677,21541,21801,24065,24218,25864,25950,34,26
AKAM,-14.1,10959,9410,10167,10141,9619,9601,8637,8619,45,12
AL,0.1,6479,6487,6470,6467,6449,6447,6403,6402,74,100
ALAB,-2.6,13262,12913,14550,14687,15955,16062,16593,16665,40,8
ALB,-0.3,16841,16785,16748,16634,17207,17175,13131,13048,50,60
ALGM,7.4,3626,3893,4076,4073,3613,3589,3020,3011,55,40
ALGN,0.0,18940,18948,19014,18875,17532,17460,15292,15228,62,80
ALK,0.9,5213,5261,5649,5675,5260,5254,4842,4840,47,18
ALL,1.4,20322,20613,20585,20676,20216,20222,20422,20426,52,44
ALLE,0.7,16122,16235,17225,17360,16765,16763,16709,16719,40,6
ALLY,-0.3,4190,4178,4171,4174,4275,4293,4178,4177,45,38
ALNY,-0.1,33937,33899,32599,32521,35136,35360,41418,41529,45,70
ALSN,1.0,11778,11896,11670,11618,11153,11095,9509,9475,72,100
AM,2.3,2110,2158,2067,2040,1906,1892,1836,1834,79,100
AMAT,1.1,36983,37377,34773,34075,32566,32307,26576,26401,70,100
AMCR,1.3,4953,5019,4939,4904,3877,3739,1741,1698,82,100
AMD,-1.8,20337,19978,20712,20639,22253,22301,22191,22153,39,14
AME,0.3,23275,23345,23260,23223,22324,22260,20345,20296,64,83
AMG,-11.1,32223,28639,31431,31582,31432,31512,27589,27540,37,0
AMGN,-0.2,37550,37464,37299,37231,35113,34965,32643,32539,62,78
AMH,-4.5,3087,2948,3117,3132,3131,3140,3184,3187,33,0
AMKR,-1.0,4834,4785,5003,4967,4984,4995,4000,3982,48,32
